评估日期,综合广度_Bcomp,站上季线_Bmid,市场状态,执行总仓位,持仓标的明细,V2进阶增强净值,V1基础优化净值,6ETF等权基准净值,沪深300基准净值
2023-01-02,0.65,4/6,中性震荡,60.0%,"上证50(30.0%), 沪深300(30.0%)",1.0,1.0,1.0,1.0
2023-01-09,0.65,4/6,中性震荡,60.0%,"上证50(30.0%), 沪深300(30.0%)",1.0172,1.0105,1.0127,1.0297
2023-01-16,0.8,6/6,多头进攻,85.7%,"上证50(42.9%), 沪深300(42.9%)",1.0294,1.0286,1.049,1.0514
2023-01-30,0.742,6/6,多头进攻,65.2%,"上证50(24.5%), 沪深300(40.8%)",1.0161,1.0312,1.0491,1.0432
2023-02-06,0.625,6/6,中性震荡,58.3%,"中证1000(29.2%), 沪深300(29.2%)",1.0078,1.0265,1.0426,1.0297
2023-02-13,0.375,5/6,中性震荡,41.7%,"中证1000(20.8%), 沪深300(20.8%)",0.9986,1.0181,1.0201,1.0162
2023-02-20,0.358,4/6,中性震荡,40.6%,"中证1000(20.3%), 中证500(20.3%)",1.0012,1.0224,1.0248,1.0216
2023-02-27,0.608,5/6,中性震荡,57.2%,"中证1000(28.6%), 中证500(28.6%)",1.0059,1.0282,1.036,1.0378
2023-03-06,0.283,3/6,弱势防守,0.0%,100% 现金避险,0.9883,1.0066,1.0042,0.9946
2023-03-13,0.283,3/6,弱势防守,0.0%,100% 现金避险,0.9883,1.006,0.9986,0.9946
2023-03-20,0.683,3/6,多头进攻,77.4%,"科创50(38.7%), 中证1000(38.7%)",0.9883,1.0112,1.0242,1.0162
2023-03-27,0.742,3/6,多头进攻,81.5%,"科创50(40.8%), 中证1000(40.8%)",0.9953,1.0184,1.0311,1.0162
2023-04-03,0.85,4/6,多头进攻,89.3%,"科创50(44.6%), 中证1000(44.6%)",1.0374,1.0502,1.0602,1.0378
2023-04-10,0.85,4/6,多头进攻,89.3%,"科创50(44.6%), 中证1000(44.6%)",1.0224,1.0403,1.0511,1.0297
2023-04-17,0.208,1/6,弱势防守,0.0%,100% 现金避险,1.0023,1.0233,1.0278,1.0162
2023-04-24,0.267,1/6,弱势防守,0.0%,100% 现金避险,1.0023,1.0243,1.0224,1.0162
2023-05-01,0.158,0/6,极端空头,0.0%,100% 现金避险,1.0023,1.0231,1.0081,1.0081
2023-05-08,0.0,0/6,极端空头,0.0%,100% 现金避险,1.0023,1.0199,0.987,0.9865
2023-05-15,0.15,0/6,极端空头,0.0%,100% 现金避险,1.0023,1.0199,1.0004,0.9946
2023-05-22,0.092,0/6,极端空头,0.0%,100% 现金避险,1.0023,1.0199,0.9819,0.9649
2023-05-29,0.208,0/6,极端空头,0.0%,100% 现金避险,1.0023,1.0199,0.9901,0.973
2023-06-05,0.033,0/6,极端空头,0.0%,100% 现金避险,1.0023,1.0199,0.9725,0.9649
2023-06-12,0.383,0/6,极端空头,0.0%,100% 现金避险,1.0023,1.0199,1.0053,1.0
2023-06-19,0.0,0/6,极端空头,0.0%,100% 现金避险,1.0023,1.0199,0.9799,0.973
2023-06-26,0.117,0/6,极端空头,0.0%,100% 现金避险,1.0023,1.0199,0.9804,0.973
2023-07-03,0.0,0/6,极端空头,0.0%,100% 现金避险,1.0023,1.0199,0.97,0.973
2023-07-10,0.458,3/6,中性震荡,47.2%,"沪深300(23.6%), 上证50(23.6%)",1.0023,1.0199,0.9857,0.9946
2023-07-17,0.058,0/6,极端空头,0.0%,100% 现金避险,0.9956,1.0118,0.9641,0.9784
